ttest:in_transit&before_midtransit-vs-in_transit&after_midtransit,ks:in_transit-vs-out_of_transit,ttest:out_of_transit&before_midtransit-vs-out_of_transit&after_midtransit,ks:out_of_transit&before_midtransit-vs-out_of_transit&after_midtransit,kepid,ks:in_transit&before_midtransit-vs-in_transit&after_midtransit,ttest:in_transit-vs-out_of_transit,anderson:out_of_transit&before_midtransit-vs-out_of_transit&after_midtransit,anderson:in_transit&before_midtransit-vs-in_transit&after_midtransit,anderson:in_transit-vs-out_of_transit,A,AUPPER,ALOWER,UA,AREF,AURL,AR,ARUPPER,ARLOWER,UAR,ARREF,ARURL,ASTROMETRY,B,BUPPER,BLOWER,UB,BREF,BURL,BIGOM,BIGOMUPPER,BIGOMLOWER,UBIGOM,BIGOMREF,BIGOMURL,BINARY,BINARYREF,BINARYURL,BMV,CHI2,COMP,DATE,DEC,DEC_STRING,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,DENSITYREF,DENSITYURL,DEPTH,DEPTHUPPER,DEPTHLOWER,UDEPTH,DEPTHREF,DEPTHURL,DIST,DISTUPPER,DISTLOWER,UDIST,DISTREF,DISTURL,DR,DRUPPER,DRLOWER,UDR,DRREF,DRURL,DVDT,DVDTUPPER,DVDTLOWER,UDVDT,DVDTREF,DVDTURL,EANAME,EAURL,ECC,ECCUPPER,ECCLOWER,UECC,ECCREF,ECCURL,EOD,ETDNAME,ETDURL,FE,FEUPPER,FELOWER,UFE,FEREF,FEURL,FIRSTREF,FIRSTURL,FREEZE_ECC,GAMMA,GAMMAUPPER,GAMMALOWER,UGAMMA,GAMMAREF,GAMMAURL,GL,GRAVITY,GRAVITYUPPER,GRAVITYLOWER,UGRAVITY,GRAVITYREF,GRAVITYURL,H,HD,HIPP,HR,I,IUPPER,ILOWER,UI,IREF,IURL,IMAGING,J,JSNAME,EPEURL,K,KUPPER,KLOWER,UK,KREF,KURL,KOI,KS,KP,LAMBDA,LAMBDAUPPER,LAMBDALOWER,ULAMBDA,LAMBDAREF,LAMBDAURL,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,LOGGREF,LOGGURL,MASS,MASSUPPER,MASSLOWER,UMASS,MASSREF,MASSURL,MICROLENSING,MSINI,MSINIUPPER,MSINILOWER,UMSINI,MSINIREF,MSINIURL,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MSTARREF,MSTARURL,MULT,NAME,NCOMP,NOBS,OM,OMUPPER,OMLOWER,UOM,OMREF,OMURL,ORBREF,ORBURL,OTHERNAME,PAR,PARUPPER,PARLOWER,UPAR,PER,PERUPPER,PERLOWER,UPER,PERREF,PERURL,PLANETDISCMETH,R,RUPPER,RLOWER,UR,RREF,RURL,RA,RA_STRING,RHK,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,RHOSTARREF,RHOSTARURL,RMS,RR,RRUPPER,RRLOWER,URR,RRREF,RRURL,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,RSTARREF,RSTARURL,SAO,SE,SEREF,SEURL,SEDEPTHJ,SEDEPTHJUPPER,SEDEPTHJLOWER,USEDEPTHJ,SEDEPTHJREF,SEDEPTHJURL,SEDEPTHH,SEDEPTHHUPPER,SEDEPTHHLOWER,USEDEPTHH,SEDEPTHHREF,SEDEPTHHURL,SEDEPTHKS,SEDEPTHKSUPPER,SEDEPTHKSLOWER,USEDEPTHKS,SEDEPTHKSREF,SEDEPTHKSURL,SEDEPTHKP,SEDEPTHKPUPPER,SEDEPTHKPLOWER,USEDEPTHKP,SEDEPTHKPREF,SEDEPTHKPURL,SEDEPTH36,SEDEPTH36UPPER,SEDEPTH36LOWER,USEDEPTH36,SEDEPTH36REF,SEDEPTH36URL,SEDEPTH45,SEDEPTH45UPPER,SEDEPTH45LOWER,USEDEPTH45,SEDEPTH45REF,SEDEPTH45URL,SEDEPTH58,SEDEPTH58UPPER,SEDEPTH58LOWER,USEDEPTH58,SEDEPTH58REF,SEDEPTH58URL,SEDEPTH80,SEDEPTH80UPPER,SEDEPTH80LOWER,USEDEPTH80,SEDEPTH80REF,SEDEPTH80URL,SEP,SEPUPPER,SEPLOWER,USEP,SEPREF,SEPURL,SET,SETUPPER,SETLOWER,USET,SETREF,SETURL,SHK,SIMBADNAME,SIMBADURL,SPECREF,SPECURL,STAR,STARDISCMETH,T0,T0UPPER,T0LOWER,UT0,T0REF,T0URL,T14,T14UPPER,T14LOWER,UT14,T14REF,T14URL,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,TEFFREF,TEFFURL,TIMING,TRANSIT,TRANSITREF,TRANSITURL,TREND,TT,TTUPPER,TTLOWER,UTT,TTREF,TTURL,V,VREF,VURL,VSINI,VSINIUPPER,VSINILOWER,UVSINI,VSINIREF,VSINIURL,KEPID,KDE,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
0.783131866809883,2.7511745034793484e-81,0.9453007020165523,0.5409794538444261,1161345,0.9741136843071212,1.9064048024625944e-27,0.5154580116822615,1.1401253674654015,0.0,0.0501,,,,,,,,,,,,,0.374,0.083,0.374,0.2285,,,,,,,,,,,,,,1,,,,,,,,,,790.1,49.7,49.7,49.7,,,,,,,,,19.94,5.7,5.7,5.7,,,,,,,,,K00984.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00984.01,0.0,,,,,,0,,,0.12,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,10.096,,,,88.93,,,,,,,10.457,,,,,,,,,984.01,10.016,11.631,,,,,,,4.576,0.015,0.085,0.05,,,0.017883258205377034,0.0018131744174052743,0.0018131744174052743,0.0018131744174052743,estimated from radius; see EOD documentation,,,,,,,,,0.911,0.036,0.064,0.05,,,,KOI 984.01,,,,,,,,,,,KIC 1161345,,,,,4.28746668,1.524e-05,1.524e-05,1.524e-05,,,,0.2043004671858446,0.019627119118290747,0.00892141778104125,0.014274268449665999,,,,,,,,,,,,,0.025717,0.00122,0.001106,0.001163,,,0.815,0.08,0.034,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 984,,,,,,,,0.06538749999999999,0.003270833333333333,0.003270833333333333,0.003270833333333333,,,5296.0,105.0,105.0,105.0,,,,1,,,,15095.06245,0.00211,0.00211,0.00211,,,,,,,,,,,,1161345,1,K00984.01,,CANDIDATE,CANDIDATE,0.711,0,0,0,0,4.28746668,1.524e-05,-1.524e-05,262.06245,0.00211,-0.00211,0.374,0.083,-0.374,1.5693,0.0785,-0.0785,790.1,49.7,-49.7,2.29,0.22,-0.1,942.0,,,186.31,56.73,-28.39,19.4,1,q1_q17_dr25_tce,5296.0,105.0,-105.0,4.576,0.015,-0.085,0.815,0.08,-0.034,19h24m11.71s,+36d50m23.6s,11.631,
0.7650856379370579,2.8117298217496274e-23,0.134891852931464,0.45258174545635926,2444412,0.14208925477435666,4.0107580815356367e-13,0.2499349279540715,0.2726496986948504,5.1222167656999494e+35,0.1159,,,,,,,,,,,,,0.014,0.339,0.014,0.17650000000000002,,,,,,,,,,,,,,1,,,,,,,,,,864.5,8.7,8.7,8.7,,,,,,,,,35.174,0.121,0.121,0.121,,,,,,,,,K00103.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00103.01,0.0,,,,,,0,,,-0.04,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,11.078,,,,89.98,,,,,,,11.42,,,,,,,,,103.01,11.047,12.593,,,,,,,4.5,0.045,0.105,0.075,,,0.02189400539675481,0.0038162286681790447,0.0038162286681790447,0.0038162286681790447,estimated from radius; see EOD documentation,,,,,,,,,0.932,0.051,0.068,0.0595,,,,KOI 103.01,,,,,,,,,,,KIC 2444412,,,,,14.91095177,1.275e-05,1.275e-05,1.275e-05,,,,0.23374114586328074,0.029440678677436122,0.015166410227770126,0.022303544452603123,,,,,,,,,,,,,0.026641,0.000444,0.000197,0.0003205,,,0.899,0.114,0.057,0.0855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 103,,,,,,,,0.13854166666666667,0.001,0.001,0.001,,,5650.0,101.0,112.0,106.5,,,,1,,,,14974.336726,0.000711,0.000711,0.000711,,,,,,,,,,,,2444412,1,K00103.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,14.91095177,1.275e-05,-1.275e-05,141.336726,0.000711,-0.000711,0.014,0.339,-0.014,3.325,0.024,-0.024,864.5,8.7,-8.7,2.62,0.33,-0.17,694.0,,,54.87,19.92,-10.44,116.9,1,q1_q17_dr25_tce,5650.0,101.0,-112.0,4.5,0.045,-0.105,0.899,0.114,-0.057,19h26m44.00s,+37d45m05.7s,12.593,
0.7077237549185408,0.0014215606667719685,0.6318009023657567,0.9854945905353011,2718778,0.2871328847950932,0.8236747281682137,1.0466260980449817,0.29975175102986445,1.3960947702666407e-05,0.0478,,,,,,,,,,,,,0.112,0.334,0.112,0.223,,,,,,,,,,,,,,1,,,,,,,,,,463.5,20.8,20.8,20.8,,,,,,,,,8.254,0.865,0.865,0.865,,,,,,,,,K02489.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02489.01,0.0,,,,,,0,,,-0.18,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,14.074,,,,89.22,,,,,,,14.461,,,,,,,,,2489.01,14.062,15.708,,,,,,,4.554,0.042,0.168,0.10500000000000001,,,0.013688101523974858,0.002550845601909855,0.002550845601909855,0.002550845601909855,estimated from radius; see EOD documentation,,,,,,,,,0.939,0.098,0.12,0.109,,,,KOI 2489.01,,,,,,,,,,,KIC 2718778,,,,,3.92453009,1.673e-05,1.673e-05,1.673e-05,,,,0.16236980361495074,0.04014638001468562,0.014274268449665999,0.02721032423217581,,,,,,,,,,,,,0.019616,0.000832,0.000484,0.000658,,,0.849,0.209,0.075,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 2489,,,,,,,,0.15379166666666666,0.004458333333333333,0.004458333333333333,0.004458333333333333,,,5776.0,181.0,201.0,191.0,,,,1,,,,14965.40179,0.00398,0.00398,0.00398,,,,,,,,,,,,2718778,1,K02489.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,3.92453009,1.673e-05,-1.673e-05,132.40179,0.00398,-0.00398,0.112,0.334,-0.112,3.691,0.107,-0.107,463.5,20.8,-20.8,1.82,0.45,-0.16,1074.0,,,314.25,237.87,-87.57,25.3,1,q1_q17_dr25_tce,5776.0,181.0,-201.0,4.554,0.042,-0.168,0.849,0.209,-0.075,19h30m45.70s,+37d56m04.5s,15.708,
0.1602201467616107,0.42674949393811873,0.6249854222455276,0.3345346406075604,2849140,0.1589308417254067,0.6329263205879551,0.5900922201001746,0.10310707078674045,0.3962423585612649,0.0978,,,,,,,,,,,,,0.698,0.271,0.491,0.381,,,,,,,,,,,,,,1,,,,,,,,,,212.7,17.1,17.1,17.1,,,,,,,,,7.84,3.1,3.1,3.1,,,,,,,,,K03416.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K03416.01,0.0,,,,,,0,,,-0.18,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,13.729,,,,84.89,,,,,,,14.082,,,,,,,,,3416.01,13.708,15.353,,,,,,,4.578,0.032,0.128,0.08,,,0.006869220436618467,0.003929901342285856,0.003929901342285856,0.003929901342285856,estimated from radius; see EOD documentation,,,,,,,,,0.899,0.083,0.102,0.0925,,,,KOI 3416.01,,,,,,,,,,,KIC 2849140,,,,,11.8237228,0.000239,0.000239,0.000239,,,,0.11151772226301562,0.022303544452603123,0.009813559559145374,0.01605855200587425,,,,,,,,,,,,,0.014222,0.005588,0.001162,0.003375,,,0.803,0.164,0.07,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 3416,,,,,,,,0.35491666666666666,0.020374999999999997,0.020374999999999997,0.020374999999999997,,,5559.0,149.0,166.0,157.5,,,,1,,,,14972.4199,0.0156,0.0156,0.0156,,,,,,,,,,,,2849140,1,K03416.01,,CANDIDATE,CANDIDATE,0.893,0,0,0,0,11.8237228,0.000239,-0.000239,139.4199,0.0156,-0.0156,0.698,0.271,-0.491,8.518,0.489,-0.489,212.7,17.1,-17.1,1.25,0.25,-0.11,703.0,,,57.62,35.26,-15.09,14.2,1,q1_q17_dr25_tce,5559.0,149.0,-166.0,4.578,0.032,-0.128,0.803,0.164,-0.07,19h22m55.99s,+38d00m26.0s,15.353,
0.8858949729650135,8.108870570220987e-08,0.7293546735026384,0.21789153690880025,3103212,0.5938546899931931,0.8436483028519743,0.5491712141382268,0.4471686217621159,7.96362372949895e-06,0.0426,,,,,,,,,,,,,0.665,0.297,0.439,0.368,,,,,,,,,,,,,,1,,,,,,,,,,82.1,5.2,5.2,5.2,,,,,,,,,3.6,1.3,1.3,1.3,,,,,,,,,K04145.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K04145.01,0.0,,,,,,0,,,0.08,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,12.718,,,,79.35,,,,,,,13.107,,,,,,,,,4145.01,12.604,14.359,,,,,,,4.421,0.076,0.114,0.095,,,0.0027190766623630233,0.0012836455146857935,0.0012836455146857935,0.0012836455146857935,estimated from radius; see EOD documentation,,,,,,,,,0.968,0.061,0.061,0.061,,,,KOI 4145.01,,,,,,,,,,,KIC 3103212,,,,,3.25424652,3.34e-05,3.34e-05,3.34e-05,,,,0.08564561069799599,0.01248998489345775,0.007137134224832999,0.009813559559145375,,,,,,,,,,,,,0.008748,0.00242,0.000588,0.001504,,,1.004,0.15,0.081,0.11549999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 4145,,,,,,,,0.22408333333333333,0.009791666666666666,0.009791666666666666,0.009791666666666666,,,5692.0,77.0,86.0,81.5,,,,1,,,,14966.5121,0.00975,0.00975,0.00975,,,,,,,,,,,,3103212,1,K04145.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,3.25424652,3.34e-05,-3.34e-05,133.5121,0.00975,-0.00975,0.665,0.297,-0.439,5.378,0.235,-0.235,82.1,5.2,-5.2,0.96,0.14,-0.08,1220.0,,,521.81,205.64,-106.85,18.3,1,q1_q17_dr25_tce,5692.0,77.0,-86.0,4.421,0.076,-0.114,1.004,0.15,-0.081,19h11m02.17s,+38d16m53.6s,14.359,
0.1898165696211549,0.39184893173714,0.4947736164843026,0.6240953467724718,3109930,0.48858555348455485,0.7998102883110414,0.4923871015556147,0.1894414202537735,0.15300569771200787,0.2188,,,,,,,,,,,,,0.061,0.337,0.061,0.199,,,,,,,,,,,,,,1,,,,,,,,,,570.3,18.2,18.2,18.2,,,,,,,,,33.74,1.8,1.8,1.8,,,,,,,,,K01112.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01112.01,0.0,,,,,,0,,,-0.28,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,13.18,,,,89.9,,,,,,,13.472,,,,,,,,,1112.01,13.073,14.633,,,,,,,4.451,0.081,0.202,0.14150000000000001,,,0.018315120114395567,0.006815279112884667,0.006815279112884667,0.006815279112884667,estimated from radius; see EOD documentation,,,,,,,,,0.976,0.129,0.116,0.1225,,,,KOI 1112.01,,,,,,,,,,,KIC 3109930,,,,,37.8102649,0.0002147,0.0002147,0.0002147,,,,0.20786903429826112,0.064234208023497,0.02587211156501962,0.04505315979425831,,,,,,,,,,,,,0.021892,0.000637,0.00039,0.0005135,,,0.973,0.302,0.121,0.2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 1112,,,,,,,,0.363875,0.0055,0.0055,0.0055,,,6085.0,182.0,200.0,191.0,,,,1,,,,14991.35799,0.00479,0.00479,0.00479,,,,,,,,,,,,3109930,1,K01112.01,,CANDIDATE,CANDIDATE,0.931,0,0,0,0,37.8102649,0.0002147,-0.0002147,158.35799,0.00479,-0.00479,0.061,0.337,-0.061,8.733,0.132,-0.132,570.3,18.2,-18.2,2.33,0.72,-0.29,566.0,,,24.27,22.61,-7.99,35.2,1,q1_q17_dr25_tce,6085.0,182.0,-200.0,4.451,0.081,-0.202,0.973,0.302,-0.121,19h19m06.41s,+38d15m44.2s,14.633,
0.9051017171021702,9.199979067834102e-07,0.9589487276430761,0.7302820908503125,3128552,0.7229720070129834,0.00037783589197129796,0.7594433283920728,0.5206867422021191,7.9005929482166e-06,0.0636,,,,,,,,,,,,,0.9407,0.0036,0.6599,0.33175000000000004,,,,,,,,,,,,,,4,,,,,,,,,,146.1,15.9,15.9,15.9,,,,,,,,,6.31,3.1,3.1,3.1,,,,,,,,,K02055.04,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02055.04,0.0,,,,,,0,,,-0.24,0.3,0.26,0.28,,,,,,,,,,,,,,,,,,,12.957,,,,81.36,,,,,,,13.332,,,,,,,,,2055.04,12.924,14.523,,,,,,,4.556,0.032,0.281,0.15650000000000003,,,0.007058564351880744,0.004885188545890294,0.004885188545890294,0.004885188545890294,estimated from radius; see EOD documentation,,,,,,,,,0.91,0.097,0.095,0.096,,,,KOI 2055.04,,,,,,,,,,,KIC 3128552,,,,,6.13074243,6.971e-05,6.971e-05,6.971e-05,,,,0.11240986404111974,0.0463913724614145,0.00892141778104125,0.027656395121227872,,,,,,,,,,,,,0.013892,8.8e-05,0.003475,0.0017814999999999999,,,0.833,0.34,0.068,0.20400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 2055,,,,,,,,0.11833333333333332,0.009041666666666667,0.009041666666666667,0.009041666666666667,,,5741.0,155.0,150.0,152.5,,,,1,,,,14964.85782,0.00882,0.00882,0.00882,,,,,,,,,,,,3128552,1,K02055.01,Kepler-1073 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,8.67890312,2.382e-05,-2.382e-05,133.03651,0.00228,-0.00228,0.203,0.229,-0.203,3.5317,0.0685,-0.0685,540.6,15.2,-15.2,2.56,0.39,-0.43,905.0,,,158.43,64.4,-54.2,37.4,1,q1_q17_dr25_tce,5509.0,82.0,-74.0,4.308,0.156,-0.104,1.116,0.169,-0.186,19h36m36.65s,+38d13m58.9s,14.523,
0.18599530951461624,0.008877196721545482,0.9644563636189387,0.9948540788067817,3329204,0.42226345231619133,0.02735858234675389,0.9870472844349696,0.3758521651542844,0.0008567989298521438,0.2675,,,,,,,,,,,,,0.251,0.15,0.251,0.2005,,,,,,,,,,,,,,1,,,,,,,,,,5869.2,87.1,87.1,87.1,,,,,,,,,203.4,22.3,22.3,22.3,,,,,,,,,K01095.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01095.01,0.0,,,,,,0,,,-0.06,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,13.865,,,,89.93,,,,,,,14.338,,,,,,,,,1095.01,13.914,15.617,,,,,,,4.551,0.034,0.195,0.1145,,,0.1257865128712491,0.08187204281680172,0.08187204281680172,0.08187204281680172,estimated from radius; see EOD documentation,,,,,,,,,0.957,0.094,0.115,0.10450000000000001,,,,KOI 1095.01,,,,,,,,,,,KIC 3329204,,,,,51.59809554,4.631e-05,4.631e-05,4.631e-05,,,,0.5861371482144101,0.16950693783978374,0.05263636490814337,0.11107165137396355,,,,,,,,,,,,,0.070071,0.001149,0.001167,0.0011580000000000002,,,0.859,0.248,0.078,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 1095,,,,,,,,0.08397083333333333,0.0015125,0.0015125,0.0015125,,,5681.0,169.0,169.0,169.0,,,,1,,,,15036.979914,0.000721,0.000721,0.000721,,,,,,,,,,,,3329204,1,K01095.01,,CANDIDATE,CANDIDATE,0.997,0,0,0,0,51.59809554,4.631e-05,-4.631e-05,203.979914,0.000721,-0.000721,0.251,0.15,-0.251,2.0153,0.0363,-0.0363,5869.2,87.1,-87.1,6.57,1.9,-0.59,449.0,,,9.61,8.34,-2.57,79.7,1,q1_q17_dr25_tce,5681.0,169.0,-169.0,4.551,0.034,-0.195,0.859,0.248,-0.078,19h10m28.05s,+38d24m08.4s,15.617,
0.57915668916648,1.3019476980735122e-65,0.047693839825478916,0.2566582001702671,3346154,0.8636020043501177,7.045260258917915e-35,0.1645711285733294,0.7347731020242223,0.0,0.0308,,,,,,,,,,,,,0.962,0.024,0.682,0.35300000000000004,,,,,,,,,,,,,,1,,,,,,,,,,403.0,18.9,18.9,18.9,,,,,,,,,6.12,3.1,3.1,3.1,,,,,,,,,K02723.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02723.01,0.0,,,,,,0,,,0.12,0.25,0.3,0.275,,,,,,,,,,,,,,,,,,,12.983,,,,80.96,,,,,,,13.324,,,,,,,,,2723.01,12.841,14.575,,,,,,,4.495,0.052,0.208,0.13,,,0.021349893727018857,0.008378169168973132,0.008378169168973132,0.008378169168973132,estimated from radius; see EOD documentation,,,,,,,,,1.02,0.111,0.122,0.11649999999999999,,,,KOI 2723.01,,,,,,,,,,,KIC 3346154,,,,,1.952711161,2.256e-06,2.256e-06,2.256e-06,,,,0.23017257875086425,0.0678027751359135,0.02319568623070725,0.045499230683310375,,,,,,,,,,,,,0.024933,0.000925,0.006212,0.0035684999999999996,,,0.946,0.279,0.093,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 2723,,,,,,,,0.03633333333333333,0.0014833333333333332,0.0014833333333333332,0.0014833333333333332,,,5741.0,154.0,188.0,171.0,,,,1,,,,14966.160986,0.000967,0.000967,0.000967,,,,,,,,,,,,3346154,1,K02723.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,1.952711161,2.256e-06,-2.256e-06,133.160986,0.000967,-0.000967,0.962,0.024,-0.682,0.872,0.0356,-0.0356,403.0,18.9,-18.9,2.58,0.76,-0.26,1403.0,,,917.15,792.53,-264.45,30.7,1,q1_q17_dr25_tce,5741.0,154.0,-188.0,4.495,0.052,-0.208,0.946,0.279,-0.093,19h29m42.60s,+38d28m22.5s,14.575,
0.9143410846315851,9.480055424128384e-57,0.09262173607876042,0.675760644403275,3450040,0.6420081489704218,8.003702023676106e-08,0.8244394317532194,0.6366376334208287,0.0,0.0219,,,,,,,,,,,,,0.033,0.413,0.033,0.22299999999999998,,,,,,,,,,,,,,1,,,,,,,,,,97.8,6.2,6.2,6.2,,,,,,,,,5.376,0.661,0.661,0.661,,,,,,,,,K04205.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K04205.01,0.0,,,,,,0,,,0.21,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,12.922,,,,89.65,,,,,,,13.251,,,,,,,,,4205.01,12.816,14.391,,,,,,,4.537,0.014,0.119,0.0665,,,0.0019944594551458803,0.0006743706906636635,0.0006743706906636635,0.0006743706906636635,estimated from radius; see EOD documentation,,,,,,,,,1.026,0.037,0.081,0.059,,,,KOI 4205.01,,,,,,,,,,,KIC 3450040,,,,,1.166960319,3.625e-06,3.625e-06,3.625e-06,,,,0.07850847647316299,0.010705701337249499,0.0026764253343123747,0.006691063335780937,,,,,,,,,,,,,0.008944,0.000475,0.000295,0.00038500000000000003,,,0.904,0.121,0.038,0.0795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOI 4205,,,,,,,,0.07009583333333333,0.0034666666666666665,0.0034666666666666665,0.0034666666666666665,,,5632.0,67.0,92.0,79.5,,,,1,,,,14964.64332,0.00265,0.00265,0.00265,,,,,,,,,,,,3450040,1,K04205.01,,CANDIDATE,CANDIDATE,0.986,0,0,0,0,1.166960319,3.625e-06,-3.625e-06,131.64332,0.00265,-0.00265,0.033,0.413,-0.033,1.6823,0.0832,-0.0832,97.8,6.2,-6.2,0.88,0.12,-0.03,1596.0,,,1534.29,533.76,-216.05,17.9,1,q1_q17_dr25_tce,5632.0,67.0,-92.0,4.537,0.014,-0.119,0.904,0.121,-0.038,19h32m12.98s,+38d32m30.4s,14.391,
